Index,Backers,AmountRaised,Faves,Goal,MeanHappiness,MeanFear,MeanSurprise,MeanSadness,MeanNeutral,MeanAnger,Category,Success,Beneficiary
1,126,15075,135,20000,94.8215,0.112,0.1345,0.6905,0.115,1.761,Family_Campaigns,failure,self
2,18,1070,18,25000,57.80866667,2.864,0.931666667,4.909,1.146,23.05133333,Adoption,failure,honoree
3,28,1655,28,5000,NA,NA,NA,NA,NA,NA,Adoption,failure,self
4,55,20186,38,20000,98.9085,0.0695,0.454,0.042,0.2905,0.0665,Adoption,success,self
5,32,1796,29,25000,NA,NA,NA,NA,NA,NA,Adoption,failure,honoree
6,19,1485,19,5000,99.8975,0.022,0.046,0.0075,0.005,0.0095,Adoption,failure,self
7,59,8800,42,17.5,98.171,0.177,0.0165,0.213,0.1855,0.025,Adoption,success,self
8,27,10250,24,15000,74.79766667,0.271,0.651333333,6.327666667,0.120666667,0.149333333,Adoption,failure,self
9,4,650,4,1000,57.1985,0.6355,0.6315,0.482,35.8035,2.8585,Adoption,failure,self
10,20,3440,20,16000,81.74475,1.66325,0.71575,6.1755,1.35575,2.52675,Adoption,failure,self
11,29,2720,29,15000,NA,NA,NA,NA,NA,NA,Foster_Families,failure,self
12,36,2335,34,10000,76.028,0.0665,0.162,0.6005,0.46,1.8615,Adoption,failure,self
13,62,5505,61,5005,19.92,68.213,1.719,6.561,0.197,2.977,Adoption,success,self
14,33,6516,20,25000,14.9205,9.486,2.5395,5.727,47.371,4.314,Adoption,failure,self
15,27,4735,26,25000,6.971,0.082,0.082,12.8805,0.832,6.112,Adoption,failure,self
16,14,920,14,20000,34.6235,1.9495,0.529,16.6605,0.1415,7.095,Adoption,failure,self
17,44,1880,43,10000,62.07525,5.05825,0.28075,1.39,1.498,0.5255,Adoption,failure,self
18,15,1450,15,6000,45.617,4.064,4.31,34.339,1.915,5.458,Adoption,failure,self
19,49,5445,46,9000,51.037,0.2405,0.031,0.056,0.026,7.171,Adoption,failure,self
20,42,2755,38,24000,0.49,0.49,0.49,88.416,2.786,6.839,Adoption,failure,self
21,20,2500,14,25000,65.5775,2.6675,0.485,0.925,0.3125,15.1005,Adoption,failure,self
22,43,5560,42,20000,68.11633333,0.19,0.187666667,6.867,0.709333333,1.799,Adoption,failure,self
23,25,2115,22,12000,81.607,2.273,0.399,1.31,3.885,2.7985,Adoption,failure,self
24,37,2755,35,21000,99.3035,0.215,0.033,0.0405,0.006,0.069,Adoption,failure,self
25,37,13140,27,25000,99.283,0.046,0.039,0.2145,0.0355,0.062,Adoption,failure,self
26,47,5520,33,6000,57.32575,0.6895,1.54525,0.9295,8.7425,7.9455,Adoption,failure,self
27,85,6885,85,25000,94.5825,0.4635,0.114,3.317,0.1195,0.1635,Adoption,failure,self
28,155,15775,139,15000,50.1765,28.204,14.987,4.0175,0.2905,1.244,Adoption,success,self
29,57,6895,57,15000,NA,NA,NA,NA,NA,NA,Adoption,failure,honoree
30,55,6515,48,7500,NA,NA,NA,NA,NA,NA,Adoption,failure,self
31,68,18484,58,20000,88.136,6.962,3.248,0.165,0.058,0.086,Adoption,failure,self
32,19,1010,18,15000,95.906,0.0495,0.052,2.9765,0.648,0.0195,Foster_Families,failure,self
33,31,2000,15,2000,82.906,0.19,0.045,0.126,0.527,1.965,Adoption,failure,self
34,12,650,13,10000,69.7945,1.2475,0.606,13.7025,13.6215,0.3575,Adoption,failure,self
35,31,1970,21,15000,82.687,0.0605,0.0825,0.057,0.11,0.7215,Adoption,failure,self
36,33,2780,31,5000,85.938,0.331,0.293,0.293,0.329,8.9575,Adoption,failure,honoree
37,18,1505,18,3500,82.84975,0.2025,0.115,13.126,0.071,0.09025,Adoption,failure,self
38,17,1200,13,1200,55.551,0.127666667,0.339666667,19.45633333,9.500666667,0.999,Adoption,failure,self
39,52,4310,52,18.5,99.397,0.02,0.058,0.064,0.281,0.012,Adoption,success,honoree
40,64,3545,63,3500,NA,NA,NA,NA,NA,NA,Adoption,success,honoree
41,24,2030,22,20000,74.05975,0.2865,0.26075,18.56275,0.12375,3.26275,Adoption,failure,self
42,11,830,11,5000,NA,NA,NA,NA,NA,NA,Adoption,failure,self
43,23,3025,19,6000,74.7315,2.051,0.4085,4.7255,1.427,2.9185,Adoption,failure,self
44,16,1150,14,1500,13.642,0.155,0.699,75.195,7.665,1.091,Adoption,failure,self
45,15,635,13,2000,50.945,0.162,0.087,25.309,3.575,0.338,Adoption,failure,self
46,14,1315,14,2500,78.195,0.532,0.245,4.334,1.624,2.163,Adoption,failure,self
47,19,1235,19,10000,90.368,0.033,0.0475,2.026,7.0055,0.033,Adoption,failure,self
48,17,2085,15,15000,80.2565,0.0505,0.0515,3.163,0.9985,0.2695,Adoption,failure,self
49,45,4620,44,4500,90.822,0.592,0.174,6.084,1.683,0.129,Family_Campaigns,success,honoree
50,19,1070,19,25000,44.2695,5.20475,0.443,15.14725,7.2185,10.45275,Adoption,failure,self
51,100,9812,89,13.7,5.737,12.00633333,15.67633333,16.96833333,24.62066667,15.56666667,Family_Campaigns,success,self
52,35,3245,30,6000,20.487,0.382,1.108,3.079,56.071,14.316,Adoption,failure,self
53,21,4020,21,13000,88.036,0.3565,0.918,0.31,0.7075,0.467,Adoption,failure,self
54,17,2860,17,7500,58.1285,6.67625,7.9265,18.32375,1.27375,2.737,Adoption,failure,self
55,11,550,10,3400,NA,NA,NA,NA,NA,NA,Adoption,failure,self
56,21,1550,22,1000,34.645,26.789,10.555,7.362,19.496,0.791,Adoption,success,self
57,40,2592,38,10000,54.1685,30.673,5.0465,0.701,2.7165,1.3185,Adoption,failure,self
58,51,5295,45,10000,39.347,2.1395,2.2005,9.465,13.5875,3.7,Family_Campaigns,failure,self
59,54,5088,54,20000,NA,NA,NA,NA,NA,NA,Adoption,failure,self
60,73,12825,40,12.7,NA,NA,NA,NA,NA,NA,Adoption,success,self
61,41,2815,28,5000,93.389,0.129,0.223,0.2225,0.2975,0.2205,Adoption,failure,self
62,47,4331,49,7000,69.4088,5.8964,1.227,1.5926,0.6822,6.9738,Adoption,failure,self
63,43,2965,24,8000,4.855,2.516,50.927,13.82,19.378,3.666,Adoption,failure,self
64,39,2915,37,4000,99.0585,0.045,0.025,0.2695,0.022,0.0275,Adoption,failure,self
65,20,3995,15,5500,49.06475,0.4325,1.3565,16.76175,2.9025,12.20175,Adoption,failure,self
66,25,630,23,5000,93.1225,0.6885,3.441,0.8355,0.1185,0.917,Adoption,failure,self
67,38,2290,36,6000,87.5845,0.3335,0.2485,1.7,0.044,0.087,Adoption,failure,self
68,20,8456,9,7000,92.17866667,0.038333333,0.256,6.493666667,0.586,0.02,Adoption,success,self
69,85,8664,83,25000,79.592,0.761,0.761,0.761,7.836,4.526,Adoption,failure,self
70,33,6120,23,14000,92.2525,1.779,0.0685,2.8605,0.2565,0.0685,Adoption,failure,self
71,19,16873,7,25000,NA,NA,NA,NA,NA,NA,Adoption,failure,self
72,18,2540,17,10000,40.853,2.875,11.032,15.667,26.636,0.709,Adoption,failure,self
73,29,2655,24,14000,64.9625,2.14925,1.4545,13.5455,3.978,0.49325,Adoption,failure,self
74,67,3624,60,11000,86.2545,0.142,0.1345,1.0225,1.0835,1.6415,Adoption,failure,self
75,23,3000,22,7000,99.932,0.004,0.003,0.05,0.002,0.002,Adoption,failure,self
76,23,1635,22,1600,72.50366667,2.924666667,1.660666667,20.35433333,1.250666667,0.06,Adoption,success,self
77,30,2545,26,5000,42.93333333,8.42,8.969333333,7.882,9.731333333,10.49066667,Foster_Families,failure,self
78,45,4195,42,6000,10.421,0.249,0.205,35.381,0.205,51.592,Adoption,failure,self
79,114,5925,113,25000,2.285,0.586,7.161,64.937,24.011,0.836,Adoption,failure,self
80,54,10787,29,13000,35.652,0.185,0.185,0.343,0.199,8.403,Adoption,failure,self
81,33,2857,21,9140,40.54228571,-0.100285714,0.012,3.891571429,8.242,4.064285714,Adoption,failure,self
82,22,3450,22,5000,73.2498,8.2308,1.929,4.53,10.0062,0.9862,Adoption,failure,self
83,90,17202,54,20000,90.9966,0.837,0.2608,1.7832,1.3674,1.3002,Adoption,failure,self
84,68,6945,65,25000,99.0125,0.044,0.0495,0.525,0.0995,0.034,Family_Campaigns,failure,self
85,82,5000,82,10000,35.921,-0.212,0.078142857,0.773857143,13.49785714,2.642571429,Foster_Families,failure,honoree
86,25,1825,25,6000,NA,NA,NA,NA,NA,NA,Foster_Families,failure,self
87,39,3700,41,5000,NA,NA,NA,NA,NA,NA,Adoption,failure,honoree
88,44,2891,46,15000,94.562,1.2905,0.3615,1.6845,1.4635,0.0875,Adoption,failure,self
89,31,2275,32,25000,98.613,0.0145,0.0175,0.5125,0.424,0.141,Adoption,failure,self
90,52,6340,53,15000,NA,NA,NA,NA,NA,NA,Adoption,failure,self
91,36,2051,35,25000,62.46033333,14.77733333,5.243666667,6.397666667,7.938,1.318333333,Adoption,failure,self
92,44,3187,41,6000,40.06525,19.9615,2.6835,4.3945,15.0685,1.1035,Adoption,failure,self
93,19,3000,18,3000,54.654,1.7655,10.224,0.505,18.2085,1.3855,Adoption,failure,self
94,87,6575,64,12000,93.5845,0.0925,0.34,0.712,0.7695,2.343,Adoption,failure,self
95,75,3880,74,7500,89.7895,0.162,0.1845,0.295,0.219,1.234,Adoption,failure,self
96,18,1050,18,10000,87.7195,0.095,0.8155,0.258,3.299,0.6675,Adoption,failure,self
97,89,6020,84,10000,NA,NA,NA,NA,NA,NA,Adoption,failure,self
98,29,1060,30,5000,NA,NA,NA,NA,NA,NA,Adoption,failure,self
99,19,1380,17,13000,NA,NA,NA,NA,NA,NA,Adoption,failure,self
100,16,1605,17,10000,3.834,3.834,3.834,3.834,3.834,65.906,Adoption,failure,self
101,24,890,9,8000,48.028,0.31,0.3215,0.8695,9.952,4.757,Adoption,failure,self
102,19,3295,17,4000,30.961,0.735,8.123,26.993,25.212,5.125,Adoption,failure,self
103,24,1050,21,3600,88.0652,0.2772,0.2194,9.0318,0.3992,0.5312,Adoption,failure,self
104,35,15185,34,13.5,90.235,0.133,0.097,0.1815,0.157,3.9475,Adoption,success,self
105,46,3770,41,20000,82.01225,10.1075,0.87475,1.2265,0.33925,1.14525,Adoption,failure,self
106,29,1960,27,5000,52.7845,0.4805,0.141,1.481,8.15,0.9225,Adoption,failure,self
107,24,1375,24,7000,97.3985,0.037,0.0745,0.161,0.578,0.252,Adoption,failure,self
108,53,1480,49,12000,52.208,0.0945,0.5655,0.121,46.7355,0.035,Adoption,failure,self
109,40,8882,35,23000,77.57825,2.51625,5.7235,0.27825,11.63425,0.222,Adoption,failure,self
110,39,2551,31,10000,95.1825,2.12,0.513,0.374,0.451,0.2475,Adoption,failure,self
111,33,2780,32,10000,99.233,0.012,0.05,0.0235,0.037,0.019,Adoption,failure,self
112,21,1812,20,1340,68.451,0.22,0.1955,14.0645,10.076,0.298,Adoption,success,self
113,23,2100,24,4000,NA,NA,NA,NA,NA,NA,Adoption,failure,self
114,50,3875,51,7000,52.2795,15.4345,2.0895,0.63,26.706,1.683,Foster_Families,failure,self
115,35,1364,28,8000,65.1635,2.648,2.06,15.33375,3.88925,4.056,Adoption,failure,self
